class,type_count,token_count,wordnet_sense
apple,2,17,apple.n.01
bag,5,34,bag.n.04
ball,2,11,ball.n.01
book,2,14,book.n.02
box,1,4,box.n.01
chair,5,48,chair.n.01
closet,1,21,closet.n.01
couch,1,13,couch.n.01
cup,2,13,cup.n.01
desk,2,20,desk.n.01
door,8,79,door.n.01
door_handle,6,28,doorhandle.n.01
footstool,1,12,footstool.n.01
headphones,1,9,headphones.n.01
jacket,1,7,jacket.n.01
lamp,11,54,lamp.n.02
painting,2,20,decoration.n.01
pin-up_board,3,11,board.n.05
robot,3,30,robot.n.01
rubiks_cube,4,26,toy.n.01
shoes,1,8,shoe.n.01
sign,9,39,sign.n.02
t-shirt,1,14,t-shirt.n.01
table,1,16,table.n.02
teapot,1,9,teapot.n.01
teddy_bear,2,13,teddy.n.01
trophy,1,10,trophy.n.02
vase,2,18,vase.n.01
window,5,37,window.n.01
wine_bottle,3,24,wine-bottle.n.01
wine_glass,1,7,wineglass.n.01
